Rk,Player,Tm,Age,Pos,G,GS,QBrec,Cmp,Att,Cmp%,Yds,TD,TD%,Int,Int%,1D,Lng,Y/A,AY/A,Y/C,Y/G,Rate,Sk,Yds,NY/A,ANY/A,Sk%,4QC,GWD
91,Marshall Faulk*+,STL,28,RB,14,14,,0,1,0,0,0,0,0,0,0,0,0,0,,0,39.6,0,0,0,0,0,,
92,Jeff Feagles,SEA,35,,16,0,,0,2,0,0,0,0,0,0,0,0,0,0,,0,39.6,0,0,0,0,0,,
93,Martin Gramatica,TAM,26,,14,0,,0,1,0,0,0,0,0,0,0,0,0,0,,0,39.6,0,0,0,0,0,,
94,Mike Green,TEN,25,,16,1,,0,2,0,0,0,0,2,100,0,0,0,-45,,0,0,0,0,0,-45,0,,
95,Craig Hentrich,TEN,30,,16,0,,0,2,0,0,0,0,1,50,0,0,0,-22.5,,0,0,0,0,0,-22.5,0,,
96,Joe Horn*,NOR,29,WR,16,16,,0,1,0,0,0,0,0,0,0,0,0,0,,0,39.6,0,0,0,0,0,,
97,Richard Huntley,CAR,29,RB,14,9,,0,1,0,0,0,0,0,0,0,0,0,0,,0,39.6,1,0,0,0,50,,
98,LaMont Jordan,NYJ,23,,16,0,,0,1,0,0,0,0,0,0,0,0,0,0,,0,39.6,0,0,0,0,0,,
99,Micah Knorr,DAL,26,,16,0,,0,1,0,0,0,0,0,0,0,0,0,0,,0,39.6,0,0,0,0,0,,
100,Freddie Mitchell,PHI,23,,15,1,,0,1,0,0,0,0,0,0,0,0,0,0,,0,39.6,0,0,0,0,0,,
101,Brian Moorman,BUF,25,,16,0,,0,1,0,0,0,0,0,0,0,0,0,0,,0,39.6,0,0,0,0,0,,
102,Frank Sanders,ARI,28,WR,15,13,,0,1,0,0,0,0,0,0,0,0,0,0,,0,39.6,0,0,0,0,0,,
103,Billy Volek,TEN,25,,1,0,,0,3,0,0,0,0,0,0,0,0,0,0,,0,39.6,0,0,0,0,0,,
104,Hines Ward*,PIT,25,WR,16,16,,0,1,0,0,0,0,0,0,0,0,0,0,,0,39.6,1,3,-1.5,-1.5,50,,
105,Lamont Warren,DET,28,,16,3,,0,2,0,0,0,0,1,50,0,0,0,-22.5,,0,0,0,0,0,-22.5,0,,
106,Joey Galloway,DAL,30,WR,16,16,,1,1,100,-1,0,0,0,0,0,-1,-1,-1,-1,-0.1,79.2,0,0,-1,-1,0,,
107,Kyle Richardson,BAL,28,,16,0,,1,1,100,-11,0,0,0,0,0,-11,-11,-11,-11,-0.7,79.2,0,0,-11,-11,0,,
